상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
28516812,빽다방공덕새창로점,공덕새창로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144058500,도화동,1144010400,도화동,1.14E+18,1,대지,25,5,서울특별시 마포구 도화동 25-5,1.14E+11,서울특별시 마포구 새창로,15,1,1.14E+24,,서울특별시 마포구 새창로 15-1,121812,4169,,1,,126.9518216,37.54222806,5
25346931,빽다방서초우성점,서초우성점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1.17E+18,1,대지,1329,9,서울특별시 서초구 서초동 1329-9,1.17E+11,서울특별시 서초구 사임당로,181,,1.17E+24,,서울특별시 서초구 사임당로 181,137070,6626,,1,,127.0293055,37.4930262,6
15655401,빽다방잠실장미상가,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171071000,잠실6동,1171010200,신천동,1.17E+18,1,대지,7,,서울특별시 송파구 신천동 7,1.17E+11,서울특별시 송파구 올림픽로35길,104,,1.17E+24,장미아파트,서울특별시 송파구 올림픽로35길 104,138796,5504,,,,127.099289,37.51981032,8
28450254,빽다방중계은행사거리점,중계은행사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135062100,중계1동,1135010600,중계동,1.14E+18,1,대지,360,11,서울특별시 노원구 중계동 360-11,1.14E+11,서울특별시 노원구 한글비석로,235,,1.14E+24,하나프라자빌딩,서울특별시 노원구 한글비석로 235,139220,1743,,1,,127.0763272,37.64878886,6
25368024,빽다방성신여대점,성신여대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129057500,동선동,1129011600,동선동1가,1.13E+18,1,대지,2,12,서울특별시 성북구 동선동1가 2-12,1.13E+11,서울특별시 성북구 동소문로20나길,3,,1.13E+24,,서울특별시 성북구 동소문로20나길 3,136051,2845,,1,,127.0167663,37.59196568,7
25364101,빽다방신림역1호점,신림역1호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162064500,서원동,1162010200,신림동,1.16E+18,1,대지,1639,8,서울특별시 관악구 신림동 1639-8,1.16E+11,서울특별시 관악구 남부순환로,1592,,1.16E+24,,서울특별시 관악구 남부순환로 1592,151930,8776,,1,,126.9275723,37.48368563,7
12438246,빽다방,방이역코오롱점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171056100,방이1동,1171011100,방이동,1.17E+18,1,대지,208,1,서울특별시 송파구 방이동 208-1,1.17E+11,서울특별시 송파구 마천로,25,,1.17E+24,,서울특별시 송파구 마천로 25,138835,5639,,,,127.123888,37.50967823,8
12425857,빽다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,826,14,서울특별시 강남구 역삼동 826-14,1.17E+11,서울특별시 강남구 강남대로,358,,1.17E+24,삼성생명역삼동빌딩,서울특별시 강남구 강남대로 358,135769,6241,,20,,127.0297769,37.49504844,10
23674574,빽다방방화사거리점,방화사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1.15E+18,1,대지,483,5,서울특별시 강서구 방화동 483-5,1.15E+11,서울특별시 강서구 금낭화로,91,2,1.15E+24,대승프라자,서울특별시 강서구 금낭화로 91-2,157220,7516,,1,,126.811063,37.57363808,8
12451641,빽다방이태원점,이태원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117065000,이태원1동,1117013000,이태원동,1.12E+18,1,대지,66,8,서울특별시 용산구 이태원동 66-8,1.12E+11,서울특별시 용산구 보광로59길,37,,1.12E+24,,서울특별시 용산구 보광로59길 37,140863,4391,,1,,126.9918575,37.53380046,3
11797256,빽다방,반포고투몰점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165058100,반포4동,1165010700,반포동,1.17E+18,1,대지,19,3,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,176,,1.17E+24,센트럴시티빌딩,서울특별시 서초구 신반포로 176,137726,6546,,,,127.0023932,37.50393001,6
11797392,빽다방한양대점,한양대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11200,성동구,1120055000,사근동,1120010700,행당동,1.12E+18,1,대지,19,9,서울특별시 성동구 행당동 19-9,1.12E+11,서울특별시 성동구 마조로,21,,1.12E+24,,서울특별시 성동구 마조로 21,133070,4760,,1,,127.0408099,37.55989712,5
11797363,빽다방종로관철점,종로관철점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111061500,종로1.2.3.4가동,1111013500,관철동,1.11E+18,1,대지,42,4,서울특별시 종로구 관철동 42-4,1.11E+11,서울특별시 종로구 종로10길,21,,1.11E+24,,서울특별시 종로구 종로10길 21,110111,3189,,1,,126.9845236,37.56898647,3
11804284,빽다방서울과기대점,서울과기대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135060000,공릉2동,1135010300,공릉동,1.14E+18,1,대지,441,1,서울특별시 노원구 공릉동 441-1,1.14E+11,서울특별시 노원구 공릉로,217,,1.14E+24,,서울특별시 노원구 공릉로 217,139240,1833,,1,,127.0770973,37.62868373,6
11804350,빽다방반포고투몰2호점,반포고투몰2호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165058100,반포4동,1165010700,반포동,1.17E+18,1,대지,128,4,서울특별시 서초구 반포동 128-4,1.17E+11,서울특별시 서초구 신반포로,200,,1.17E+24,강남터미널지하쇼핑몰,서울특별시 서초구 신반포로 200,137040,6545,,1,,127.0050321,37.50621391,6
11804281,빽다방을지로입구역점,을지로입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114055000,명동,1114010200,다동,1.11E+18,1,대지,116,,서울특별시 중구 다동 116,1.11E+11,서울특별시 중구 남대문로9길,10,,1.11E+24,,서울특별시 중구 남대문로9길 10,100180,4522,,1,,126.9818706,37.56679211,5
11763599,빽다방중랑역동부시장점,중랑역동부시장점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11260,중랑구,1126059000,상봉2동,1126010200,상봉동,1.13E+18,1,대지,130,130,서울특별시 중랑구 상봉동 130-130,1.13E+11,서울특별시 중랑구 망우로32길,14,,1.13E+24,,서울특별시 중랑구 망우로32길 14,131220,2120,,1,,127.0764142,37.59323141,2
11804429,빽다방천호역로데오점,천호역로데오점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174061000,천호2동,1174010900,천호동,1.17E+18,1,대지,415,29,서울특별시 강동구 천호동 415-29,1.17E+11,서울특별시 강동구 올림픽로70길,57,,1.17E+24,,서울특별시 강동구 올림픽로70길 57,134020,5329,,1,,127.1267566,37.53918208,8
11804299,빽다방종암사거리점,종암사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129070500,종암동,1129013500,종암동,1.13E+18,1,대지,132,,서울특별시 성북구 종암동 132,1.13E+11,서울특별시 성북구 종암로,132,,1.13E+24,종암우림카이저팰리스,서울특별시 성북구 종암로 132,136090,2797,,1,,127.0334984,37.6019072,7
11804241,빽다방,월곡역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129072500,월곡2동,1129013600,하월곡동,1.13E+18,1,대지,16,7,서울특별시 성북구 하월곡동 16-7,1.13E+11,서울특별시 성북구 화랑로,91,,1.13E+24,국민은행월곡동지점,서울특별시 성북구 화랑로 91,136130,2751,,3,,127.0420917,37.60297742,7
16659341,빽다방,구산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138056000,구산동,1138010500,구산동,1.14E+18,1,대지,1,15,서울특별시 은평구 구산동 1-15,1.14E+11,서울특별시 은평구 연서로,129,,1.14E+24,,서울특별시 은평구 연서로 129,122819,3412,,1,,126.9166707,37.61047058,7
11776418,빽다방,길음역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129066000,길음1동,1129013400,길음동,1.13E+18,1,대지,1276,,서울특별시 성북구 길음동 1276,1.13E+11,서울특별시 성북구 동소문로,248,,1.13E+24,삼부아파트,서울특별시 성북구 동소문로 248,136757,2735,102,,110,127.0235872,37.60291588,7
11795267,빽다방월계광운대점,월계광운대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135056000,월계1동,1135010200,월계동,1.14E+18,1,대지,393,14,서울특별시 노원구 월계동 393-14,1.14E+11,서울특별시 노원구 광운로,43,,1.14E+24,로얄포토빌딩,서울특별시 노원구 광운로 43,139050,1891,,1,,127.0589953,37.62134145,6
16749511,빽다방,강변역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121587000,구의3동,1121510300,구의동,1.12E+18,1,대지,546,11,서울특별시 광진구 구의동 546-11,1.12E+11,서울특별시 광진구 강변역로4길,10,,1.12E+24,강변역지너스타워,서울특별시 광진구 강변역로4길 10,143203,5116,,,,127.0933882,37.53534442,6
25293908,빽다방,건대로데오점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121584700,자양4동,1121510500,자양동,1.12E+18,1,대지,8,1,서울특별시 광진구 자양동 8-1,1.12E+11,서울특별시 광진구 아차산로,220,,1.12E+24,,서울특별시 광진구 아차산로 220,143190,5072,,1,,127.0676375,37.54062232,6
7155897,빽다방,수서역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168075000,수서동,1168011500,수서동,1.17E+18,1,대지,713,,서울특별시 강남구 수서동 713,1.17E+11,서울특별시 강남구 밤고개로1길,10,,1.17E+24,수서현대벤쳐빌,서울특별시 강남구 밤고개로1길 10,135539,6349,,2,,127.1018421,37.48801336,10
16608121,빽다방,보라매타운점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159068000,신대방2동,1159010900,신대방동,1.16E+18,1,대지,395,73,서울특별시 동작구 신대방동 395-73,1.16E+11,서울특별시 동작구 보라매로5가길,7,,1.16E+24,캐릭터그린빌,서울특별시 동작구 보라매로5가길 7,156736,7071,,30,,126.9250465,37.49188024,5
16594100,빽다방,마포경찰서점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144055500,아현동,1144010100,아현동,1.14E+18,1,대지,618,9,서울특별시 마포구 아현동 618-9,1.14E+11,서울특별시 마포구 마포대로,179,,1.14E+24,,서울특별시 마포구 마포대로 179,121862,4130,,,,126.9547977,37.55032778,5
16768044,빽다방,암사역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174061000,천호2동,1174010900,천호동,1.17E+18,1,대지,287,,서울특별시 강동구 천호동 287,1.17E+11,서울특별시 강동구 올림픽로,770,,1.17E+24,영림빌딩,서울특별시 강동구 올림픽로 770,134867,5318,,,,127.1276402,37.54977601,8
11797355,빽다방,잠실장미상가점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171071000,잠실6동,1171010200,신천동,1.17E+18,1,대지,7,,서울특별시 송파구 신천동 7,1.17E+11,서울특별시 송파구 올림픽로35길,104,,1.17E+24,장미아파트,서울특별시 송파구 올림픽로35길 104,138796,5504,,5,,127.099289,37.51981032,8
11804279,빽다방,안암역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129060000,안암동,1129012500,안암동5가,1.13E+18,1,대지,100,5,서울특별시 성북구 안암동5가 100-5,1.13E+11,서울특별시 성북구 인촌로,99,7,1.13E+24,,서울특별시 성북구 인촌로 99-7,136075,2842,,,,127.0301397,37.58670612,7
11804435,빽다방노량진학원점,노량진학원점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159051000,노량진1동,1159010100,노량진동,1.16E+18,1,대지,119,155,서울특별시 동작구 노량진동 119-155,1.16E+11,서울특별시 동작구 만양로,94,2,1.16E+24,,서울특별시 동작구 만양로 94-2,156050,6913,,1,,126.9444192,37.51184196,5
11804545,빽다방,거여역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171053200,거여2동,1171011300,거여동,1.17E+18,1,대지,36,6,서울특별시 송파구 거여동 36-6,1.17E+11,서울특별시 송파구 오금로,515,,1.17E+24,,서울특별시 송파구 오금로 515,138110,5768,,1,,127.1461442,37.49315353,8
16725696,빽다방,개봉역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153075000,개봉2동,1153010700,개봉동,1.15E+18,1,대지,203,7,서울특별시 구로구 개봉동 203-7,1.15E+11,서울특별시 구로구 남부순환로97길,3,,1.15E+24,KS프리미어빌딩,서울특별시 구로구 남부순환로97길 3,152809,8328,,5,,126.8582394,37.49398361,7
16585756,빽다방,선정릉역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,683,10,서울특별시 강남구 역삼동 683-10,1.17E+11,서울특별시 강남구 선릉로,567,,1.17E+24,대운,서울특별시 강남구 선릉로 567,135916,6145,,6,,127.0440621,37.5090772,10
11797193,빽다방동대문역점,동대문역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111067000,창신1동,1111017400,창신동,1.11E+18,1,대지,497,2,서울특별시 종로구 창신동 497-2,1.11E+11,서울특별시 종로구 종로,300,1,1.11E+24,,서울특별시 종로구 종로 300-1,110540,3119,,1,,127.011227,37.5715829,3
25254992,빽다방,아차산점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121577000,중곡4동,1121510100,중곡동,1.12E+18,1,대지,114,32,서울특별시 광진구 중곡동 114-32,1.12E+11,서울특별시 광진구 천호대로129길,17,,1.12E+24,가은베스트빌,서울특별시 광진구 천호대로129길 17,143220,4953,,1,102,127.0905957,37.55285743,6
16675028,빽다방,연신내사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138052000,불광1동,1138010300,불광동,1.14E+18,1,대지,308,14,서울특별시 은평구 불광동 308-14,1.14E+11,서울특별시 은평구 통일로,840,,1.14E+24,범서빌딩,서울특별시 은평구 통일로 840,122859,3350,,1,,126.9220836,37.61838614,7
11806194,빽다방청담영동고점,청담영동고점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1.17E+18,1,대지,40,2,서울특별시 강남구 청담동 40-2,1.17E+11,서울특별시 강남구 선릉로,720,,1.17E+24,유관빌딩,서울특별시 강남구 선릉로 720,135951,6065,,1,,127.0408464,37.51906184,10
25246706,빽다방강동역헤르셔점,강동역헤르셔점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174062000,천호3동,1174010900,천호동,1.17E+18,1,대지,447,17,서울특별시 강동구 천호동 447-17,1.17E+11,서울특별시 강동구 천호대로,1089,,1.17E+24,강동헤르셔,서울특별시 강동구 천호대로 1089,134020,5339,,1,,127.1330784,37.53656154,8
