상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1001010,풍성로37가길,18,송파구,9692443,38484755,39778747,10313459
1001009,천호옛길,2,강동구,8798709,35243241,36830225,11787651
1001008,천호옛14길,2,강동구,7345107,28912331,30301127,13523880
1001007,천호대로219길,2,강동구,1425329,5295936,4213537,658988
1001006,천호대로197길,2,강동구,5812854,23213442,22335673,5964018
1001005,천호대로187길,2,강동구,6416679,25770498,27058583,10806600
1001004,천호대로170길,2,강동구,10638967,43285695,44219355,13387428
1001003,천호대로162길,2,강동구,9881040,38881399,39699565,13598766
1001002,천중로51길,2,강동구,8436611,32826473,32293323,9765929
1001001,천중로39길,2,강동구,9787553,39763748,41263621,10154940
1001000,진황도로47길,2,강동구,5775526,23449235,25340585,13575495
1000999,진황도로27길,2,강동구,10034567,41696794,42717855,13051519
1000998,올림픽로98길,18,송파구,8187391,32034041,30080028,8831403
1000997,올림픽로80길,18,송파구,3999803,16606943,17191683,5775318
1000996,올림픽로78길,18,송파구,3832525,15701469,15811430,6392426
1000995,올림픽로77길,18,송파구,4786824,20392555,20065628,7355406
1000994,올림픽로71길,18,송파구,4346883,19033021,20561808,7972054
1000993,올림픽로48길,18,송파구,3762838,15316975,14730859,5032598
1000992,양재대로96길,15,서초구,6274310,26070149,25412343,6728008
1000991,양재대로95길,15,서초구,8487732,36609338,37217416,9563836
1000990,양재대로91길,15,서초구,6470117,27642379,27921747,6748517
1000989,양재대로133길,15,서초구,7922166,37827976,46429224,12020429
1000988,양재대로124길,15,서초구,8725003,33389999,29973575,8562424
1000987,양재대로116길,15,서초구,5271778,21335101,22033866,10304427
1000986,양재대로101길,15,서초구,8994751,38126491,41103516,14625145
1000985,암사길,2,강동구,8198604,40560178,49469292,9602056
1000984,성안로3길,2,강동구,4469972,18347703,17919573,5662129
1000983,성내로5길,2,강동구,8668736,34310149,35267842,9818572
1000982,상일로5길,2,강동구,1800216,6200163,4466886,812860
1000981,상암로5길,2,강동구,5220606,20909625,19646796,7984641
1000980,상암로51길,2,강동구,5430918,22029575,24074112,9732344
1000979,상암로4길,2,강동구,5654075,22406319,20691901,7255247
1000978,상암로14길,2,강동구,7196364,27525849,25621500,8048573
1000977,명일로13길,2,강동구,6307127,25506438,25643161,7133852
1000976,동남로85길,18,송파구,1836987,6885585,4931736,1814872
1000975,동남로82길,18,송파구,1077239,4004669,2804559,214289
1000974,동남로65길,18,송파구,1088057,4253949,4608049,1334845
1000973,구천면로42길,2,강동구,10454010,52846193,62155145,10728779
1000972,구천면로41길,2,강동구,9688786,45707446,48945292,10163676
1000971,구천면로36길,2,강동구,8221569,35031178,33002485,6858473
1000970,고덕로61길,2,강동구,2008734,7310107,4778302,1910549
1000969,고덕로25길,2,강동구,2408923,9214523,8941302,2118682
1000968,고덕로10길,2,강동구,6155512,24099441,21807612,8381796
1000967,강동대로53길,2,강동구,3971822,15782030,15827165,5247791
1000966,풍성로25길,18,송파구,6493564,25279969,27321543,7711838
1000965,오금로46길,18,송파구,5093640,22419094,21476463,4851866
1000964,오금로36길,18,송파구,3910370,16195489,16925993,4667305
1000963,오금로11길,18,송파구,6453146,26613025,27402787,10766578
1000962,양재대로72길,15,서초구,3345603,13637979,12950371,3867004
1000961,양재대로71길,15,서초구,3586318,14843421,15017277,4823186
1000960,양재대로64길,15,서초구,5000752,20608262,21203368,7317630
1000959,양재대로62길,15,서초구,3451251,13901349,13990126,5202217
1000958,송파대로30길,18,송파구,4323620,17653843,17546551,7352221
1000957,송이로36길,18,송파구,4148942,17657445,18458256,6510581
1000956,송이로32길,18,송파구,5702012,22999583,23187982,6271455
1000955,송이로23길,18,송파구,4906271,19256470,19267105,5642364
1000954,삼전로13길,18,송파구,7288863,31350855,32846164,11266244
1000953,백제고분로50길,18,송파구,5499348,22463855,22269819,5775952
1000952,백제고분로46길,18,송파구,4943172,20595129,20136538,6715188
1000951,백제고분로45길,18,송파구,5889428,23994076,24367719,7971538
1000950,백제고분로42길,18,송파구,4930469,18761148,17846137,6051449
1000949,백제고분로39길,18,송파구,4339151,17102645,17573380,5504687
1000948,백제고분로34길,18,송파구,5267902,21622221,19191510,3639555
1000947,백제고분로33길,18,송파구,5669071,23517260,22273991,5664125
1000946,백제고분로32길,18,송파구,4334826,17473229,16552637,3278201
1000945,백제고분로31길,18,송파구,6727255,28568124,27741472,8927315
1000944,백제고분로22길,18,송파구,4257764,17312343,16237029,3553289
1000943,백제고분로21길,18,송파구,5098324,22340731,22824133,7830032
1000942,마천로51길,18,송파구,5797973,20661209,19224632,3876107
1000941,동남로20길,18,송파구,4877272,20825167,20857402,5929637
1000940,거마로20길,18,송파구,5543774,21960838,21676163,4401357
1000939,학동로77길,1,강남구,3909208,15918683,15099922,4956576
1000938,학동로6길,1,강남구,4204012,18052501,18072542,5985645
1000937,학동로56길,1,강남구,6023917,24541108,24018759,11355162
1000936,학동로38길,1,강남구,3628839,14216762,13868624,6609749
1000935,테헤란로81길,1,강남구,2394154,10011940,11210861,6682764
1000934,일원로9길,1,강남구,3607530,14305212,15065910,4522796
1000933,일원로3길,1,강남구,3849639,15416180,15925143,4881027
1000932,영동대로65길,1,강남구,4175568,17489690,17861163,7127079
1000931,영동대로112길,1,강남구,1648470,7280077,8385892,4352287
1000930,언주로81길,1,강남구,6387206,26448671,26549954,13104923
1000929,압구정로2길,1,강남구,3199302,13800176,14549625,7920818
1000928,선릉로18길,1,강남구,949507,3734395,3434763,818105
1000927,선릉로146길,1,강남구,4187298,17134196,16029443,6492599
1000926,선릉로133길,1,강남구,4912092,19863369,19150958,10061216
1000925,선릉로132길,1,강남구,6554681,26746835,25289482,11238253
1000924,선릉로121길,1,강남구,4779857,19968675,20739160,9902257
1000923,삼성로75길,1,강남구,7050002,29011929,27868302,12689700
1000922,삼성로69길,1,강남구,6454369,26585454,26066007,9729237
1000921,삼성로64길,1,강남구,4055834,16199924,15988596,6509358
1000920,삼성로63길,1,강남구,6028388,24526584,24261430,10285305
1000919,삼성로57길,1,강남구,5253750,20862847,19601718,8273548
1000918,삼성로147길,1,강남구,3865778,15911858,14903898,5609015
1000917,삼성로115길,1,강남구,3956518,16482939,15158905,4658618
1000916,봉은사로68길,1,강남구,3689705,15209804,14586335,6288864
1000915,봉은사로57길,1,강남구,3582447,15098195,15506183,5667530
1000914,봉은사로43길,1,강남구,5650636,23308445,23227221,9270309
1000913,봉은사로29길,1,강남구,5949088,23532112,22416719,12166388
1000912,봉은사로109길,1,강남구,1849785,8296341,9692853,4180848
1000911,도산대로89길,1,강남구,2788286,11234079,10396635,3039131
1000910,도산대로81길,1,강남구,2842170,11275123,10623116,4197297
1000909,도산대로50길,1,강남구,4320219,17782233,17380384,8934362
1000908,도산대로38길,1,강남구,2293309,9754037,9689637,5056586
1000907,도산대로30길,1,강남구,2546282,10779586,10930285,5097102
1000906,도산대로23길,1,강남구,3579517,14484931,14565279,6568707
1000905,도산대로15길,1,강남구,3700107,15054232,14986556,6988766
1000904,도곡로37길,1,강남구,5783167,23940348,23448159,8181787
1000903,논현로8길,1,강남구,2097261,8381938,7873947,1769817
1000902,논현로63길,1,강남구,4388544,18238010,17790589,6650699
1000901,논현로28길,1,강남구,2753984,11519226,11464745,4733478
1000900,논현로26길,1,강남구,2813838,11429125,11441778,4962340
1000899,논현로159길,1,강남구,3537164,14394080,14434887,7639349
1000898,논현로139길,1,강남구,3593599,15115112,15091738,7466245
1000897,논현로123길,1,강남구,3847955,16337361,15435438,3873104
1000896,논현로115길,1,강남구,6142013,25244539,24211948,11344735
1000895,논현로10길,1,강남구,3248849,13321589,12972007,3035412
1000894,논현로106길,1,강남구,4041107,16631416,15764465,10032554
1000893,남부순환로365길,18,송파구,4083361,16717565,16288656,5762590
1000892,개포로82길,1,강남구,626361,2641050,1962745,546816
1000891,개포로28길,1,강남구,2343374,9583021,10914605,3192658
1000890,개포로20길,1,강남구,3548927,14375309,14591833,4224328
1000889,개포로17길,1,강남구,2642545,10650132,11713686,3949493
1000888,강남대로140길,1,강남구,3329588,13831807,13834070,8758894
1000887,강남대로136길,1,강남구,4189847,18064920,17528667,8676545
1000886,강남대로118길,1,강남구,4788690,19946466,19959877,6941166
1000885,서초중앙로8길,15,서초구,4100128,17502357,18676324,7167373
1000884,방배중앙로21길,15,서초구,4417652,18767816,18293486,5803577
1000883,효령로72길,15,서초구,3196575,12763040,14013694,5677183
1000882,효령로34길,15,서초구,2135225,8203331,8862338,4241017
1000881,효령로31길,15,서초구,4018473,15855379,16054071,6692097
1000880,효령로23길,15,서초구,3897951,15132816,15444695,6518741
1000879,청두곶길,15,서초구,4606379,19494247,20058779,7340653
1000878,주흥길,15,서초구,5198665,21985458,21810489,9730490
1000877,주흥15길,15,서초구,4711183,19933025,19990409,9537946
1000876,언남길,15,서초구,2741714,10811717,10440917,3393907
1000875,신반포로45길,15,서초구,4282863,17678380,18065244,8505238
1000874,서초대로8길,15,서초구,3424204,13648380,13985068,5382710
1000873,서초대로64길,15,서초구,3267524,13579860,15627116,5525018
1000872,서초대로4길,15,서초구,4513409,19221302,20826675,12786705
1000871,서초대로25길,15,서초구,4774707,18925593,18785925,6928374
1000870,서초대로23길,15,서초구,4172175,16357214,16474196,6367343
1000869,서초대로15길,15,서초구,3916261,15726399,16104954,5919987
1000868,사평대로57길,15,서초구,5013914,20950018,21072200,12230438
1000867,사평대로26길,15,서초구,2163278,8700951,7895952,2341894
1000866,사평대로22길,15,서초구,3242512,13066772,12489871,3211113
1000865,사임당로17길,15,서초구,4036394,16967775,20100284,11186734
1000864,방배로42길,15,서초구,3245872,12939734,13281096,4945976
1000863,방배로35길,15,서초구,4539815,18417632,18217838,6366194
1000862,방배로18길,15,서초구,3210967,13400180,13308037,5598288
1000861,반포대로9길,15,서초구,3127303,11700297,10703112,3715220
1000860,바우뫼로39길,15,서초구,3300288,13609753,13121432,5328488
1000859,마방로2길,15,서초구,2182938,8915590,9808132,2996686
1000858,방배천로4안길,15,서초구,3744413,16065050,16882020,9122002
1000857,동산로19길,15,서초구,3587787,14497618,13548903,3821491
1000856,동산로10길,15,서초구,2725883,11168155,11526922,2958613
1000855,동광로39길,15,서초구,3231051,13195416,11760222,3087992
1000854,동광로1길,15,서초구,4548182,19169551,18771508,4138014
1000853,동광로12길,15,서초구,5647876,23701153,24512467,14844620
1000852,논현로27길,1,강남구,2716694,11210165,10876720,4950507
1000851,논현로1길,1,강남구,3229829,13098741,12728769,2934724
1000850,남부순환로339길,15,서초구,2536541,10574471,11567833,3626611
1000849,남부순환로325길,15,서초구,3223490,13080838,13055816,7284337
1000848,남부순환로317길,15,서초구,3569133,13938212,13478699,6050678
1000847,고무래로8길,15,서초구,2887091,11391113,11584272,4012635
1000846,강남대로8길,1,강남구,2797605,11578717,12274177,3384592
1000845,강남대로34길,1,강남구,3477455,14119071,14289153,6646124
1000844,강남대로23길,1,강남구,1264607,5258163,5234531,2231204
1000843,소담길,1,강남구,6960055,27874101,24210083,5882941
1000842,원신길,5,관악구,3005214,12425890,11998264,2362776
1000841,양지길,5,관악구,3522214,14843343,15930316,5327235
1000840,양산길,5,관악구,3073823,13290102,14652495,4733943
1000839,호암로24길,5,관악구,7392121,31570828,35202079,13800701
1000838,호암로20길,5,관악구,7397982,31575040,32729167,11796637
1000837,행운길,5,관악구,7597821,32012481,32843107,11997931
1000836,행운1길,5,관악구,7262517,31067583,32085240,13858804
1000835,청림3길,5,관악구,6092471,24193949,21750172,4541224
1000834,청룡길,5,관악구,8027497,32021095,29868183,12477265
1000833,청룡8길,5,관악구,6723525,27229673,26430818,7772678
1000832,중앙길,19,양천구,9284950,37462624,34492266,10962540
1000831,조원중앙로2길,5,관악구,5331803,21611868,21628159,5867252
1000830,조원로18길,5,관악구,4577563,18246653,19322746,6079402
1000829,조원로10길,5,관악구,6092344,24318724,25677785,11434278
1000828,장군봉2길,5,관악구,4881286,20736251,21591569,5982240
1000827,장군봉1길,5,관악구,5938894,24375939,25025679,8215382
1000826,인헌길,5,관악구,4808860,19455822,16826863,3423905
1000825,은천로25길,5,관악구,4575206,17237600,15946210,3835262
1000824,양녕로6길,5,관악구,8366240,33901037,31561412,11968592
1000823,신원로3길,5,관악구,7451742,30788133,32279322,11785849
1000822,신사로20길,5,관악구,4276875,17581056,16617150,3445914
1000821,신림로65길,5,관악구,8183079,34346274,37719605,17752701
1000820,신림로64길,5,관악구,6112939,25124326,26183399,14107639
1000819,신림로48길,5,관악구,3828049,15484205,15980388,3461451
1000818,신림로38길,5,관악구,4998260,19969632,15585461,3533559
1000817,신림로28길,5,관악구,5766857,24630978,26069934,10964235
1000816,신림로11길,5,관악구,5284767,22279658,23232084,8948323
1000815,신림동길,5,관악구,8219067,34317692,36163610,14829306
1000814,승방길,5,관악구,4810476,19452390,19103452,7025988
1000813,서림7길,5,관악구,4252672,17384743,17714293,6576872
1000812,봉천로33길,5,관악구,7728186,30383656,28474907,10744338
1000811,봉천로13길,5,관악구,5030943,20444327,21015632,5540007
1000810,복은길,5,관악구,5497059,22329518,19848986,5319098
1000809,법원단지길,5,관악구,4869522,19727501,19523324,5021374
1000808,법원단지9길,5,관악구,5316286,21604655,21304663,4761217
1000807,미성5길,5,관악구,4578603,18739100,18255994,4770026
1000806,대학길,5,관악구,5845732,24797426,25437783,9103131
1000805,대학14길,5,관악구,4382152,18377653,18305919,5006106
1000804,당곡길,19,양천구,4135775,17000491,17083837,5961032
1000803,남현길,5,관악구,6284916,25315551,24642194,5650084
1000802,남현3길,5,관악구,6471707,26153155,26453620,8963707
1000801,남현2길,5,관악구,7892653,31306306,30935402,7358903
1000800,남부순환로248길,5,관악구,4581013,18617385,17357459,4641458
1000799,남부순환로234길,5,관악구,4117127,17129770,18305088,7498350
1000798,남부순환로172길,5,관악구,5929340,24527327,26152008,8457730
1000797,남부순환로161길,5,관악구,5592299,22423504,22164278,5339938
1000796,남부순환로151길,5,관악구,5068009,20096498,21633692,6234321
1000795,남부순환로142길,5,관악구,3828944,16038956,16174757,5060079
1000794,난향길,5,관악구,1356338,5537803,5285488,914231
1000793,난우길,5,관악구,5448224,22526393,21761830,4694069
1000792,난곡로74길,5,관악구,4940549,19900502,21373127,5247100
1000791,난곡로34길,5,관악구,4653309,18776275,18639629,4862963
1000790,난곡로26길,5,관악구,3704027,14804226,14575858,3326073
1000789,난곡로24길,5,관악구,2822558,11345906,11037187,1553604
1000788,낙성대역길,5,관악구,5699120,23620486,22800732,9287759
1000787,국회단지길,5,관악구,5902205,23179621,21681521,6142678
1000786,구암길,5,관악구,3542114,13923460,14906149,3663232
1000785,관천로22길,5,관악구,6613517,27455177,26958892,7868697
1000784,관천로15길,5,관악구,6482728,27028357,25910882,4433250
1000783,관악로30길,5,관악구,5251972,20603309,18689393,4422598
1000782,관악로28길,5,관악구,5042344,19989502,18507156,4578647
1000781,관악로14길,5,관악구,6663415,27352756,30165860,15008045
1000780,관악로10길,5,관악구,5121200,20874841,22557057,10115030
1000779,흑석로9길,12,동작구,2322340,9646190,11442849,13135589
1000778,흑석로13길,12,동작구,2270157,9544096,11340925,13349477
1000777,장승배기로27길,12,동작구,4587594,19695785,19993935,7893495
1000776,장승배기로19길,12,동작구,4576715,19833228,19766818,7255486
1000775,장승배기로10길,12,동작구,4457189,18875691,18816780,7298221
1000774,여의대방로46길,12,동작구,2883138,11631286,11402601,5393204
1000773,여의대방로24길,12,동작구,3608250,14907071,14953063,5488899
1000772,여의대방로22카길,12,동작구,4349060,18573997,18755850,6051593
1000771,여의대방로22나길,12,동작구,2522283,10370659,10332118,3587416
1000770,여의대방로22길,12,동작구,3283028,13724704,13730480,4138866
1000769,양녕로26길,12,동작구,3553435,14451996,13150267,2450320
1000768,신대방길,12,동작구,3526296,14402504,13857948,5811341
1000767,성대로29길,12,동작구,5359669,22149234,20898094,4927930
1000766,성대로1길,12,동작구,4778064,18971574,17280840,5655566
1000765,서달로8가길,12,동작구,3517018,14916789,15816287,15803097
1000764,서달로15길,12,동작구,1916837,8341820,10215929,14972892
1000763,서달로14길,12,동작구,2437317,10834816,11061586,10408857
1000762,서달로10길,12,동작구,4028611,16274376,16566128,9313644
1000761,상도로62길,12,동작구,5094385,20866181,22856748,6582467
1000760,상도로61길,12,동작구,3794154,15827885,17091638,5037031
1000759,상도로47길,12,동작구,4441714,17734725,17899333,4243757
1000758,상도로37길,12,동작구,4278062,17012301,16987913,4804169
1000757,상도로15길,12,동작구,5842651,23886400,22010207,8057676
1000756,사당로8길,12,동작구,5636800,23729708,21923605,5241986
1000755,사당로30길,12,동작구,3806771,15788578,16788740,10232297
1000754,사당로2차길,12,동작구,2784335,11742546,8992119,2233793
1000753,사당로29길,12,동작구,4769628,19866388,21192893,12378741
1000752,사당로26길,12,동작구,5088744,20399887,21287012,7992324
1000751,사당로23나길,12,동작구,2616586,10912480,11246924,2874608
1000750,사당로23길,12,동작구,3041006,12743958,12712944,2185875
1000749,사당로20길,12,동작구,5392393,21217490,22165264,6456812
1000748,사당로16길,12,동작구,6850455,27118972,26172272,6575860
1000747,사당로16가길,12,동작구,5407991,22811998,21483305,5578488
1000746,만양로8길,12,동작구,5741923,24346201,25381048,9336280
1000745,만양로14길,12,동작구,3813778,16864542,17820701,8486377
1000744,등용로14길,12,동작구,3049866,12350884,12050559,4368674
1000743,동작대로7길,12,동작구,7327314,29820619,30765829,13393212
1000742,동작대로35길,12,동작구,4798436,19990765,19336607,4980786
1000741,동작대로33길,12,동작구,6119143,25364010,26053539,12405236
1000740,동작대로29길,12,동작구,4371625,17485885,18374047,7638142
1000739,동작대로17길,12,동작구,4613528,19159662,20946171,12676559
1000738,대방동2길,12,동작구,3228251,13025679,13220116,5321362
1000737,대방동27길,12,동작구,2892109,11438150,11612014,4057725
1000736,노량진로6길,12,동작구,4551758,19299566,18510653,5477228
1000735,국사봉길,12,동작구,6445641,26258657,25057598,7033524
1000734,국사봉2길,12,동작구,4547394,18834442,18173502,6255772
1000733,국사봉1길,12,동작구,5862269,23526022,22212323,8384473
1000732,영신로9길,20,영등포구,5258067,21812662,24886475,7113516
1000731,영등포로84길,20,영등포구,5133579,20502308,20198474,8535082
1000730,영등포로80길,20,영등포구,4973179,19855897,19890819,8977992
1000729,영등포로62길,20,영등포구,3642229,14938113,17301257,4615912
1000728,영등포로35길,20,영등포구,3472260,14518915,16315770,9864096
1000727,영등포로27길,20,영등포구,4098929,17122228,17606622,5171574
1000726,영등포로25길,20,영등포구,3374882,14354779,14759355,5535393
1000725,여의대방로61길,20,영등포구,2451405,10037193,10533423,4666209
1000724,여의대방로43나길,20,영등포구,4862617,19175899,18002302,5879249
1000723,여의대방로39길,20,영등포구,2506338,9908823,9125380,2820666
1000722,여의대방로35길,20,영등포구,4149634,16695219,16206096,5498144
1000721,양평로28길,20,영등포구,1329506,5470015,5228025,1410825
1000720,양평로22라길,20,영등포구,1762650,7324595,6948122,2501551
1000719,양평로19길,20,영등포구,2977363,12525641,12749932,4848965
1000718,신길로60길,20,영등포구,5344366,21772608,24068572,7142318
1000717,신길로42길,20,영등포구,4844712,19056826,18675824,4921383
1000716,신길로42가길,20,영등포구,7015524,27835634,26597843,8551751
1000715,신길로39길,20,영등포구,5184226,21069712,23689930,6843572
1000714,신길로17길,20,영등포구,5610155,19950123,16766725,4571821
1000713,선유서로28길,20,영등포구,2860034,11823552,11176303,4374811
1000712,선유서로25길,20,영등포구,2242148,9428801,8901206,2931068
1000711,선유서로24길,20,영등포구,3065540,12514809,12005025,4552629
1000710,선유로55길,20,영등포구,2226680,9258443,9487685,3891328
1000709,디지털로74길,20,영등포구,6897585,23184247,18075829,5184871
1000708,디지털로57길,20,영등포구,5982683,23452830,24164888,9800403
1000707,디지털로37길,20,영등포구,5775207,22989681,24808354,9249364
1000706,도신로62길,20,영등포구,5329958,21168785,20442824,8520259
1000705,도신로60길,20,영등포구,4908323,19489653,18582454,6925799
1000704,도신로29길,20,영등포구,4859495,20075090,21854740,5609886
1000703,도신로15길,20,영등포구,4676391,19518716,19075436,5973304
1000702,도림천로21길,20,영등포구,5160363,21267600,21056971,7667005
1000701,도림로63길,20,영등포구,4092549,16056953,15886592,5258794
1000700,도림로147길,20,영등포구,2301194,9476184,9436510,3490158
1000699,도림로112길,20,영등포구,4986782,20584475,21054786,6906949
1000698,대림로8길,20,영등포구,5963583,22302284,19558756,8169408
1000697,대림로7길,20,영등포구,3023099,12763005,12442363,5230934
1000696,대림로44길,20,영등포구,2976584,12979507,14734493,5514116
1000695,대림로34길,20,영등포구,3527298,14768082,15999187,6911150
1000694,대림로31길,20,영등포구,4034327,15982441,17054079,6993019
1000693,대림로29길,20,영등포구,5578410,22072579,24797973,10078002
1000692,대림로22길,20,영등포구,7304677,25963642,22028890,7238261
1000691,당산로46길,20,영등포구,2566570,10946658,11720998,7609795
1000690,당산로38길,20,영등포구,4091637,16092576,15845665,6541786
1000689,당산로37길,20,영등포구,4392185,18462432,18969328,6553174
1000688,당산로31길,20,영등포구,3475237,14429517,15074458,6381747
1000687,국회대로56길,20,영등포구,2781333,11958932,12931838,6735521
1000686,경인로90길,20,영등포구,2044114,8718733,9810545,4358835
1000685,경인로80길,20,영등포구,2495993,10167593,10142796,3829799
1000684,경인로77길,20,영등포구,2420238,10046819,10571810,3846230
1000683,가마산로61길,20,영등포구,4714354,19164267,18712701,6096160
1000682,시흥대로94길,8,금천구,4129383,15220934,16758490,4449901
1000681,시흥대로84길,8,금천구,4620595,17433522,17057567,3589272
1000680,시흥대로68길,8,금천구,4615559,18757377,18499111,6493223
1000679,시흥대로63길,8,금천구,1839629,7564342,7301607,4785216
1000678,시흥대로62가길,8,금천구,3787548,15682524,16423687,6179884
1000677,시흥대로36길,8,금천구,1235965,5220496,5760328,898360
1000676,시흥대로22길,8,금천구,1488975,6079604,6365979,654237
