index,g3b4,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,average_trade,average_sizetrade,year
1,1,강남구,개포동,1,0,5,0,1029.502173,0,142210.628,2350.950643,2018
2,1,강남구,논현동,20,2,52,7,419.2474405,421.1096065,113205.618,1199.528213,2018
3,1,강남구,대치동,26,3,45,4,514.5925852,565.141633,190018.3445,1929.110361,2018
4,1,강남구,도곡동,6,1,28,4,413.8844456,162.1827515,162690.8718,1478.389307,2018
5,1,강남구,삼성동,20,1,45,0,470.4565013,750.7241388,172511.3712,1773.421078,2018
6,1,강남구,수서동,3,2,19,14,201.9995147,114.5381038,104124.417,1755.884568,2018
7,1,강남구,신사동,15,3,22,3,430.6322704,353.9016153,121770.2128,1089.923219,2018
8,1,강남구,압구정동,1,0,0,0,923.8794372,0,263775,2294.912258,2018
9,1,강남구,역삼동,39,5,114,6,358.6699974,471.7779982,106648.4725,1418.038794,2018
10,1,강남구,일원동,2,0,3,0,421.7437032,0,132168.1208,1634.041831,2018
11,1,강남구,청담동,15,1,26,2,426.5044828,573.1077694,175336.2705,1690.052161,2018
12,0,강북구,미아동,3,1,16,3,363.6799498,122.5741837,46644.73434,611.8330187,2018
13,0,강북구,번동,2,0,14,0,558.622614,0,34048.94336,516.0534501,2018
14,0,강북구,수유동,2,1,13,1,644.0123087,622.0901597,35191.66667,460.7615411,2018
15,0,강북구,우이동,0,2,0,4,0,232.3377718,38089.70588,465.2595899,2018
16,0,노원구,공릉동,2,1,9,4,592.1451669,501.3873928,36689.59829,559.0819312,2018
17,0,노원구,상계동,5,3,14,9,390.4602533,281.5728713,36681.00648,619.5435142,2018
18,0,노원구,월계동,2,1,6,1,242.1688964,369.5545938,37543.50588,602.4324346,2018
19,0,노원구,중계동,2,1,9,4,1157.976546,1384.42069,43074.9917,620.5742915,2018
20,0,도봉구,도봉동,0,0,0,0,0,0,33292.33953,443.7081465,2018
21,0,도봉구,방학동,0,0,0,0,0,0,33934.16016,447.1936961,2018
22,0,도봉구,쌍문동,0,0,0,0,0,0,30064.04881,447.239137,2018
23,0,도봉구,창동,1,0,5,0,81.13501854,0,40886.4833,608.136497,2018
24,1,서초구,반포동,12,4,36,9,446.4990705,199.0738138,230039.9443,2178.668139,2018
25,1,서초구,방배동,13,1,63,5,348.2441162,326.2074043,130920.2231,1130.640017,2018
26,1,서초구,서초동,40,3,202,13,490.4534778,251.9380961,120694.2388,1184.745723,2018
27,1,서초구,신원동,1,0,1,0,197.6100625,0,116854.6154,1448.408849,2018
28,1,서초구,양재동,4,0,14,0,480.296348,0,71030.58824,897.161169,2018
29,1,서초구,잠원동,9,0,25,0,478.4978106,0,161423.341,1896.8602,2018
30,0,성북구,길음동,1,1,4,11,670.5105075,114.3318205,58980.8647,740.3221328,2018
31,0,성북구,돈암동,0,0,0,0,0,0,48663.35484,598.5837832,2018
32,0,성북구,동선동1가,0,1,0,3,0,126.3517485,53875,517.2513696,2018
34,0,성북구,동선동4가,0,1,0,3,0,101.8764413,35110,516.3235294,2018
38,0,성북구,석관동,0,0,0,0,0,0,48003.2,646.9571533,2018
39,0,성북구,성북동1가,1,0,5,0,252.4552003,0,17725,1222.115385,2018
41,0,성북구,장위동,0,0,0,0,0,0,49217.72727,602.5940223,2018
42,0,성북구,정릉동,0,1,0,4,0,390.3259933,41394.36279,546.7786237,2018
43,0,성북구,종암동,2,1,6,3,647.2619852,700.6959788,50238.81048,649.1062637,2018
44,0,성북구,하월곡동,2,1,7,5,358.1192477,147.4899222,50836.30769,637.4392474,2018
45,1,송파구,가락동,4,2,9,2,364.7116701,167.4691299,75828.38889,975.1223802,2018
46,1,송파구,거여동,0,1,0,2,0,383.8417141,55074.67577,860.5301566,2018
47,1,송파구,문정동,9,5,17,2,274.5985945,442.1381758,90494.95968,1052.300928,2018
48,1,송파구,방이동,8,1,12,2,361.9147212,229.750648,100560.9589,1060.671256,2018
49,1,송파구,삼전동,1,0,0,0,352.3537064,0,45788.23529,935.8953677,2018
50,1,송파구,석촌동,1,0,2,0,410.1451579,0,57246.66667,1324.295785,2018
51,1,송파구,송파동,2,0,2,0,356.4591763,0,94664.93289,1042.206309,2018
52,1,송파구,신천동,5,4,13,1,280.3924584,437.5214761,139693.9323,1532.604727,2018
53,1,송파구,오금동,2,0,5,0,190.955176,0,75733.23256,883.5990464,2018
54,1,송파구,잠실동,7,2,9,6,551.5561832,308.9817883,158882.5682,1920.396177,2018
55,1,송파구,장지동,2,1,6,0,1749.685274,1380.621735,89384.19903,1228.940443,2018
56,1,송파구,풍납동,0,0,0,0,0,0,65699.10714,887.1141736,2018
57,1,강남구,개포동,1,2,5,6,1029.502173,224.1385656,173582.6371,2932.417325,2019
58,1,강남구,논현동,22,1,58,5,409.8380982,707.8182626,105565.0205,1352.569954,2019
59,1,강남구,대치동,31,6,57,10,499.7366861,480.0363126,216642.9911,2243.137717,2019
60,1,강남구,도곡동,7,1,31,4,447.0163275,162.1802749,186429.7156,1735.652185,2019
61,1,강남구,삼성동,25,2,56,2,493.0985946,665.8595537,185188.4021,2009.326252,2019
62,1,강남구,수서동,3,2,19,14,201.9995147,114.5366135,115681.2274,1887.107627,2019
63,1,강남구,신사동,17,4,26,6,423.2797697,302.3856729,115453.3333,1211.551705,2019
64,1,강남구,압구정동,1,0,0,0,923.8794372,0,276701.5075,2385.298586,2019
65,1,강남구,역삼동,47,6,146,13,363.3551795,444.7691459,143065.5586,1889.298801,2019
66,1,강남구,일원동,2,0,3,0,421.7437032,0,147370.8812,1845.202396,2019
67,1,강남구,청담동,15,1,26,2,426.5044828,573.1077694,199207.3214,1912.007224,2019
68,0,강북구,미아동,3,3,16,13,363.6799498,238.4353651,53831.82796,726.8358235,2019
69,0,강북구,번동,2,0,14,0,558.622614,0,37056.1976,573.9428328,2019
70,0,강북구,수유동,2,4,13,10,644.0123087,692.0931274,34489.79275,652.3042819,2019
71,0,강북구,우이동,0,3,0,6,0,237.2399222,38239.65517,479.4664742,2019
72,0,노원구,공릉동,2,2,9,6,592.1451669,439.0628409,39265.9176,667.9926339,2019
73,0,노원구,상계동,5,8,14,32,390.4602533,368.2952332,41495.45153,708.0721203,2019
74,0,노원구,월계동,2,3,6,17,242.1688964,199.4625252,45755.07962,735.4433222,2019
75,0,노원구,중계동,2,4,9,15,1157.976546,930.7428083,50487.17375,728.4373854,2019
76,0,도봉구,도봉동,0,1,0,6,0,246.4024434,36131.92441,498.7244333,2019
77,0,도봉구,방학동,0,3,0,13,0,525.4217765,37209.94219,498.1120739,2019
78,0,도봉구,쌍문동,0,2,0,7,0,730.2136958,33114.31104,515.9206432,2019
79,0,도봉구,창동,1,1,5,3,81.13501854,678.8990037,47441.92188,727.0568837,2019
80,1,서초구,반포동,13,4,40,9,437.1500377,199.0738138,241331.1211,2525.146243,2019
81,1,서초구,방배동,13,2,63,6,348.2441162,432.7096682,143266.5034,1383.469488,2019
82,1,서초구,서초동,44,7,228,24,494.5401303,453.0008267,138487.958,1430.183586,2019
83,1,서초구,신원동,1,0,1,0,197.6100625,0,122264.0351,1640.67301,2019
84,1,서초구,양재동,4,0,14,0,480.296348,0,82293.56436,1065.099185,2019
85,1,서초구,잠원동,10,1,29,2,497.4683408,152.1151453,187167.829,2195.161706,2019
86,0,성북구,길음동,1,2,4,15,670.5105075,216.001656,69747.55245,912.4889391,2019
87,0,성북구,돈암동,0,0,0,0,0,0,55898.55769,728.5574254,2019
88,0,성북구,동선동1가,0,1,0,3,0,126.3517485,53842.85714,541.8668352,2019
90,0,성북구,동선동4가,0,1,0,3,0,101.8764413,40250,591.9117647,2019
94,0,성북구,석관동,0,1,0,3,0,541.4193326,56388.48913,761.8057312,2019
95,0,성북구,성북동1가,1,0,5,0,252.4552003,0,68725,1017.779912,2019
97,0,성북구,장위동,0,1,0,5,0,975.8170594,57623.56849,795.8447911,2019
98,0,성북구,정릉동,0,3,0,10,0,527.33486,46705.73549,633.631698,2019
99,0,성북구,종암동,2,1,6,3,647.2619852,700.6959788,62654.00504,842.9869618,2019
100,0,성북구,하월곡동,2,3,7,10,358.1192477,355.498077,59718.02575,769.0470092,2019
101,1,송파구,가락동,4,4,9,2,364.7116701,202.3140289,87451.68843,1160.098416,2019
102,1,송파구,거여동,0,1,0,2,0,383.8417141,62867.03061,978.7117672,2019
103,1,송파구,문정동,9,4,17,0,274.5985945,542.4242822,109014.5701,1202.009909,2019
104,1,송파구,방이동,8,1,12,2,361.9147212,229.750648,136893.1034,1391.856587,2019
105,1,송파구,삼전동,1,1,0,1,352.3537064,580.516682,47385.71429,974.8478836,2019
106,1,송파구,석촌동,1,0,2,0,410.1451579,0,76118.30769,1255.201327,2019
107,1,송파구,송파동,2,0,2,0,356.4591763,0,106583.2485,1190.897966,2019
108,1,송파구,신천동,5,5,13,2,280.3924584,432.9057769,150750.8799,1746.915224,2019
109,1,송파구,오금동,2,0,5,0,190.955176,0,91465.15723,1064.06023,2019
110,1,송파구,잠실동,7,2,9,6,551.5561832,308.9817883,175098.1612,2097.699456,2019
111,1,송파구,장지동,2,2,6,3,1749.685274,1444.217806,99447.91833,1380.031743,2019
112,1,송파구,풍납동,0,1,0,1,0,458.5896621,73501.90058,997.6526627,2019
113,1,강남구,개포동,1,2,5,6,1029.502173,224.1385656,177915.7402,2733.658239,2020
114,1,강남구,논현동,23,1,61,3,398.5017641,712.6303681,114965.4294,1554.149738,2020
115,1,강남구,대치동,33,5,64,7,491.2768598,512.2297519,223702.8446,2340.773948,2020
116,1,강남구,도곡동,8,0,33,0,442.3544693,0,210576.7821,2029.138322,2020
117,1,강남구,삼성동,27,1,54,3,458.9201532,393.8067463,158657.1617,1859.013645,2020
118,1,강남구,수서동,4,0,21,0,230.3609284,0,124784.0106,2207.423856,2020
119,1,강남구,신사동,19,2,29,5,392.681883,344.683762,143259.2593,1310.66642,2020
120,1,강남구,압구정동,1,0,0,0,923.8794372,0,299837.907,2585.039563,2020
121,1,강남구,역삼동,48,1,137,2,348.7067259,738.2969968,129467.5253,1835.192123,2020
122,1,강남구,일원동,2,0,3,0,421.7437032,0,171325.7282,2167.414826,2020
123,1,강남구,청담동,15,0,26,0,426.5044828,0,192124.6835,1987.420771,2020
124,0,강북구,미아동,3,3,16,13,363.6799498,238.4353651,64390.11152,855.273448,2020
125,0,강북구,번동,2,0,14,0,558.622614,0,44538.57809,669.1581301,2020
126,0,강북구,수유동,2,3,13,9,644.0123087,715.42745,39370.81006,656.4414001,2020
127,0,강북구,우이동,0,3,0,6,0,237.2399222,43968.88889,534.8371399,2020
128,0,노원구,공릉동,2,1,10,2,137.9167678,376.7382889,47815.66214,758.4937521,2020
129,0,노원구,상계동,7,8,25,34,374.9470076,357.7708154,48027.48701,850.2505836,2020
130,0,노원구,월계동,3,2,8,16,234.8263133,114.4164909,55059.12211,895.4874701,2020
131,0,노원구,중계동,2,3,9,11,1157.976546,779.5168477,58576.75781,882.1502761,2020
132,0,도봉구,도봉동,0,1,0,6,0,246.4024434,43485.86207,583.9870049,2020
133,0,도봉구,방학동,0,3,0,13,0,525.4217765,41342.69391,567.1324778,2020
134,0,도봉구,쌍문동,0,2,0,7,0,730.2136958,36601.93309,565.2384478,2020
135,0,도봉구,창동,2,1,8,3,546.4021541,678.8990037,55182.43023,867.9615127,2020
136,1,서초구,반포동,13,0,42,0,455.9670512,0,263397.5417,2736.054963,2020
137,1,서초구,방배동,16,1,72,1,357.8910915,539.2119321,155226.8607,1473.273078,2020
138,1,서초구,서초동,44,4,222,5,501.8425471,364.7472284,147343.8031,1551.448845,2020
139,1,서초구,신원동,1,0,1,0,197.6100625,0,139774.2857,1816.899218,2020
140,1,서초구,양재동,3,0,13,0,422.3117303,0,83738.33858,1097.90184,2020
141,1,서초구,잠원동,11,1,30,2,530.9863978,152.1151453,203024.5961,2557.576967,2020
142,0,성북구,길음동,2,1,8,4,566.1615131,317.6714915,83853.61367,1124.798355,2020
143,0,성북구,돈암동,1,0,4,0,138.9434153,0,69400.05563,868.1098835,2020
144,0,성북구,동선동1가,0,0,0,0,0,0,63866.66667,626.8050288,2020
146,0,성북구,동선동4가,0,1,0,3,0,101.8764413,55900,822.0588235,2020
150,0,성북구,석관동,0,1,0,3,0,541.4193326,68990.68,951.7716342,2020
151,0,성북구,성북동1가,1,0,5,0,252.4552003,0,70625,990.1494565,2020
153,0,성북구,장위동,0,1,0,5,0,975.8170594,67052.96667,972.1178003,2020
154,0,성북구,정릉동,0,2,0,6,0,595.8392933,53779.1407,749.0570654,2020
155,0,성북구,종암동,2,0,6,0,647.2619852,0,74888.22404,1005.229062,2020
156,0,성북구,하월곡동,2,2,7,5,358.1192477,459.5021545,70051.12033,903.5322881,2020
157,1,송파구,가락동,6,4,9,12,507.1403143,346.1997945,108218.2975,1426.878732,2020
158,1,송파구,거여동,0,0,0,0,0,0,78347.15302,1234.586161,2020
159,1,송파구,문정동,10,4,17,0,336.4629537,536.168277,123237.5981,1407.326837,2020
160,1,송파구,방이동,11,0,18,0,359.9201174,0,140439,1503.348835,2020
161,1,송파구,삼전동,1,1,0,1,352.3537064,580.516682,57477.27273,1001.929997,2020
162,1,송파구,석촌동,2,0,4,0,410.1451579,0,79261.84211,1348.555295,2020
163,1,송파구,송파동,3,0,4,0,311.2930147,0,126316.0784,1462.550151,2020
164,1,송파구,신천동,7,2,13,5,245.2768267,204.2968452,175000.5081,1969.937047,2020
165,1,송파구,오금동,2,0,5,0,190.955176,0,99775.86788,1250.131272,2020
166,1,송파구,잠실동,7,1,9,4,551.5561832,177.9505836,194692.4066,2379.483057,2020
167,1,송파구,장지동,2,1,6,3,1749.685274,1507.813878,118473.1707,1677.51148,2020
168,1,송파구,풍납동,0,1,0,1,0,458.5896621,96334.32288,1338.296229,2020
